doc_id,source,band,machine_langid,machine_flags,language,quality,translation_shaped,notes
ht_wikipedia:68451,ht_wikipedia,,ht(0.228),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0023890,madlad_400_ht_clean,,ht(0.415),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0075494,madlad_400_ht_clean,,ht(0.351),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0041397,madlad_400_ht_clean,,ht(0.287),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0097861,madlad_400_ht_clean,,ht(0.444),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0017303,madlad_400_ht_clean,,jv(0.148),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0105458,madlad_400_ht_clean,,ht(0.192),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0019559,madlad_400_ht_clean,,ht(0.318),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0028743,madlad_400_ht_clean,,ht(0.216),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0029085,madlad_400_ht_clean,,oc(0.083),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
